term_a,term_b,count,npmi
danlo,ehler,25,0.9910761996605169
non specialized doctor,professional statistical,40,0.9828602153505706
professional statistical,visit the doctor,36,0.9575666024476835
consult a doctor,professional statistical,40,0.9565659398194788
consult a doctor,non specialized doctor,42,0.9511003873882699
non specialized doctor,visit the doctor,37,0.9471044423567097
noburp doctor,professional statistical,36,0.9381537238602224
consult a doctor,visit the doctor,38,0.9273026848711002
noburp doctor,non specialized doctor,36,0.92123257644745
noburp doctor,visit the doctor,36,0.92123257644745
combien would unit,une seule dose,29,0.9183610555142936
consult a doctor,noburp doctor,36,0.8952737139836521
professional statistical,visit a doctor,30,0.8707430471609215
non specialized doctor,visit a doctor,30,0.8541873484438228
consult a doctor,visit a doctor,30,0.8287891236363939
visit a doctor,visit the doctor,26,0.8232805318037373
abdomino phrenic dyssynergia,pelvic floor dysfunction,28,0.8196046265973415
noburp doctor,visit a doctor,26,0.8046035143253825
berlin,charit,25,0.7969749862976314
reflex,trigger my gag,83,0.7726386448313819
larynx,lower,106,0.7510448521215694
melbourne,paul,28,0.7325528697461661
100u,50u,34,0.7088384470625174
know specialist,map,81,0.6960035432331
beverage,drink a carbonated,25,0.6820919356485695
develop a hiatal,hernia,27,0.6667911360485806
appeal,deny,38,0.6380246439404591
first dose,second dose,74,0.6001166017787721
cover,insurance,386,0.5888071475610953
doncaster,nhs,30,0.5611191184559776
inability to burp,produce air inside,48,0.55602158955831
les,ues,131,0.5528313465017374
coffee,drink coffee,30,0.5527056040245494
exercise,try the shaker,90,0.5505205586279629
low esophageal sphincter,upper esophageal sphincter,40,0.5488447156824748
funding,nhs,26,0.5403929001857146
hernia,hiatal hernia,73,0.5378720739111724
cover,insurance win,31,0.5296924410057144
vodka,wine,25,0.5287740793778593
nhs,private,91,0.5273068850768595
exercise,start the shaker,34,0.5249739358812742
bowel,constipation,64,0.5211373696679765
deductible,insurance,92,0.5138917262625305
constipation,stool,34,0.5121926544617486
100 unit,50 unit,93,0.5121798262968296
gp,referral,212,0.5065478983299118
pcp,referral,86,0.5065098602207334
cover,insurance would,29,0.5034241689047545
round,second round,118,0.49722639868145946
code,cover,70,0.49019375706901713
ibs,ibs symptom,30,0.48903180049315675
general anesthesia,local anesthesia,26,0.48881747637266093
insurance,network,67,0.4879442685804314
call dr bastian,office,42,0.4852055346490722
famotidine,ppi,25,0.48204674077035786
coffee,tea,45,0.4800226331206823
alcohol,wine,62,0.4785210615911009
gp,nhs,142,0.47805340825887027
noburp,noburp problem,42,0.47638788687018524
beer,wine,76,0.47462697898483824
ppi,ppis,33,0.4742039356625484
les,low esophageal sphincter,42,0.47382557710826173
cover,insurance company,54,0.4723585138818751
bcb,cover,40,0.4683245625566508
map,specialist,88,0.4630724383372213
get hiccup,hiccup,46,0.46262884125191445
bcb,insurance,38,0.45745201804270713
cost,deductible,78,0.456566238197906
family doctor,referral,47,0.4558231091011421
cost,insurance,255,0.4536363554235906
copay,insurance,39,0.4533884865526951
famotidine,omeprazole,26,0.4529908767108657
bupa,cover,30,0.45278146525993734
croak,croaking,64,0.45274101501661984
authorization,insurance,27,0.4510078458181022
gp,gps,29,0.4506613417301822
dr bastian,internet posting,48,0.4504255320281357
beer,guinness,25,0.4498422137949731
billing,insurance,25,0.4439069088265189
alcohol,vodka,33,0.4392002816795256
beer,drink beer,61,0.4331995370628239
emetophobia,phobia,92,0.4316907515074425
gp,letter,48,0.4315822618215025
round of botox,second round,25,0.4306455860305468
cover,health insurance,43,0.4299987471428635
cover,deductible,59,0.4290753978027452
cover,medicare,26,0.42856554640870187
appeal,insurance,41,0.42514629167960066
insurance,insurance company,42,0.4249922707882601
code,insurance,49,0.4215993673327066
cost,cover,216,0.41848055302942977
anxiety,physical symptom,31,0.4175903989383083
beer,drink,398,0.413898489952873
insurance,submit,29,0.412223019803032
cover,coverage,34,0.41154218986770563
manometry,test,116,0.41143120699690006
know specialist,specialist,32,0.4095894155328552
consultant,nhs,38,0.40941158104825587
ent,referral,204,0.4080942462139243
cost,medicare,26,0.4060671599994468
company,cover,35,0.405896710672089
copay,cover,29,0.404226371363595
country,healthcare,30,0.40076386488510224
coverage,insurance,32,0.3996680729264656
age noburp,cpd,40,0.39932777539700803
acid,silent reflux,31,0.39554440770094546
esophagus,low esophageal sphincter,75,0.39545643077314757
gp,private,49,0.3951958831800113
chest,sharp pain,26,0.3942209527429635
dr karagama,general anaesthetic,26,0.3933813665406324
100 unit,ga,58,0.39302738646174007
100 unit,75 unit,33,0.3928620055234373
ues,upper esophageal sphincter,36,0.3927599132117945
fear,phobia,71,0.3926174672426282
fear of vomit,vomit,121,0.3920612615479753
heartburn,silent reflux,28,0.39114685675349975
50 unit,dosage,29,0.3903048389958034
test,testing,94,0.38979585672149325
appeal,cover,33,0.38974884064222853
alcohol,drink,283,0.38939455420043556
beer,carbonated,48,0.38913850734807914
neck,neck muscle,30,0.3886387668119631
emetophobia,fear,153,0.3880691235104327
muscle,strengthen,44,0.3872248702754487
drink,wine,120,0.38656501735544363
alcohol,drink alcohol,36,0.38405931956798306
fee,hospital,35,0.3838639537957908
actual vomit,air vomit,30,0.38346527212583525
cost,insurance cover,48,0.3824266769502206
chest,tightness,59,0.38184626724525544
gaviscon,omeprazole,26,0.38160526238256903
deny,insurance,42,0.381160613400857
dose,first dose,45,0.3803999458633289
round,round of botox,30,0.3790758666260691
gag,gag reflex,75,0.37723659130566317
beer,chugg,32,0.37718139493285824
anesthesiologist,surgery,62,0.37484344217349946
referral,specialist,119,0.374726492229332
esophagus,trachea,25,0.37463593654193167
approve,nhs,31,0.3737192326413288
acid,acid reflux,126,0.37284383443149227
alcohol,beer,102,0.3723596684318979
chest,pressure,206,0.3712965219876045
drink,drink a fizzy,39,0.37035669243629854
esophagus,sphincter,92,0.36843293069016286
barium,test,27,0.36837215881880575
cover,network,34,0.36825577571736484
estimate,insurance,31,0.36784776891342924
exercise,shaker exercise,150,0.3666426466733907
ga,in office procedure,39,0.36637548598040093
cover by insurance,insurance,28,0.36562273642782345
manometry test,test,26,0.36516363414450476
hiccup,painful hiccup,44,0.3644826470267886
gerd,hiatal hernia,58,0.36389439524977385
reflux,silent reflux,49,0.36178065047059715
cost,estimate,34,0.36148751377606775
insurance,insurance cover,37,0.3604917293909351
esophagus,les,109,0.3594880741675615
cricopharyngeus muscle,muscle,41,0.35844415833484045
jaw,neck,59,0.35810284580446594
office,receptionist,29,0.35571766055065174
drink,soda,204,0.3553727335751542
massage,neck,54,0.35528308783644874
primary,referral,26,0.354595779820013
approve,insurance,39,0.3545140649497214
50,75,36,0.3543757279638774
acid,reflux,120,0.35382415291544095
swallow,try to swallow,36,0.3536431444284985
kaiser,referral,35,0.3528389187559725
blood test,test,32,0.3525571240526412
acid,heartburn,56,0.35129193026440525
sphincter,ues,37,0.3503083303166923
drink,vodka,63,0.34900089756084385
beer,drink soda,32,0.3486559550113961
esophagus,ues,133,0.34848111119432135
croak,frog,27,0.34798932258404824
muscle,paralyze,34,0.3474473983144757
candidate for botox,dr bastian,39,0.3469142557448981
les,sphincter,28,0.3468680066608411
anesthesia,general anesthesia,64,0.3459782589748517
carbonation,soda,51,0.34510136696169386
lpr,reflux,28,0.34393020009051756
antacid,omeprazole,25,0.3439201308462645
drink,sparkling water,98,0.34366846150493674
ga,office,101,0.3425539245058926
letter,nhs,26,0.3415745913120026
75 unit,dose,40,0.3414094231834822
50 unit,dose,61,0.3407898976310021
consultant,gp,27,0.34077494116711937
actually vomit,air vomit,39,0.33933734549161715
100 unit,dose,72,0.33918164169090287
ent,gp,116,0.3386411891779178
dose,second dose,58,0.3382533374258559
post botox,pre botox,57,0.3378933288328212
gp,specialist,78,0.33756809865319237
drink,juice,66,0.33587320442829466
cocktail,drink,42,0.3355442241314621
ent,pcp,41,0.3345541337036616
beer,carbonation,73,0.3344198101620587
anxiety,social anxiety,33,0.33264197822237707
referral,see a ent,41,0.33239798325340547
actually throw,gag,29,0.3316953467772923
manometry,study,46,0.33137300795923186
swallow,swallow food,28,0.3302759168886325
cost,private,50,0.32981630779328713
approve,cover,33,0.32906934132817556
micro burp,proper burp,36,0.32905318604764666
cover,insurance cover,30,0.3283399088276305
muscle,throat muscle,40,0.32824785406028273
insurance,provider,34,0.32753366527661537
beer,soda,67,0.3273266108810366
muscle,weaken,26,0.32705606785855196
in office procedure,office,73,0.3263833313428031
shaker,shaker exercise,40,0.3255648960750014
cover,healthcare,32,0.3252345310561469
clinic,country,32,0.32518955974252123
actually vomit,vomit,51,0.3245519603770722
nhs,referral,80,0.3238361827359242
bill,hospital,37,0.32379811296016986
gurgle noise,noise,28,0.32361241002427205
75,dose,36,0.3234303391197436
cure,self cure,38,0.32338243569962516
cpd,noburp problem,34,0.3232305534550736
cider,drink,35,0.32322645794256194
diaphragm,ues,38,0.32313318874456265
muscle,neck,176,0.3230886314430076
botox injection,injection,106,0.3226338734413973
cover,deny,29,0.3224470549228729
cola,drink,25,0.32234443916287014
drink,fizzy,50,0.32188733832913335
ent,primary,26,0.3217551871109005
carbonated,drink,85,0.3214323629690638
esophagus,motility,28,0.3213774671735613
gerd,heartburn,54,0.3209698396952803
general anesthesia,office,85,0.32092147061394927
50 unit,second dose,26,0.32057404121014027
amount of gas,gas,33,0.32049024841152113
gas,much gas,36,0.3197077431263889
cover,provider,32,0.3195859120417973
dosage,dose,37,0.31945421780290445
drink,practice with fizzy,38,0.31925450149604845
alcohol,carbonation,52,0.3189131092702783
esophagus,upper esophageal sphincter,52,0.3186194169702479
drink,seltzer,66,0.3182293969033029
code,cost,30,0.31774642630635275
acid reflux,bad acid reflux,26,0.31772474090540886
carbonation,drink,177,0.31747086378398154
drink,spirit,35,0.31726674400162663
drink,guinness,28,0.31700433318349247
flex,muscle,32,0.31620377070715766
swallow,throat,646,0.31568502164965967
coffee,drink,131,0.31521929759847844
100 unit,second dose,30,0.3151859188519172
contract,muscle,36,0.3147475735366679
endoscopy,manometry,39,0.31428895590149075
anesthesia,office,134,0.3120754881501378
chest,feel the air,39,0.3119096248079384
see a ent,specialist,30,0.3116803654375104
excessive flatulence,symptom,62,0.3114926114088734
ibs,sibo,25,0.3113218907377257
diaphragm,les,27,0.3108355851791698
acid,gerd,55,0.31071223375179546
cost,quote,26,0.3107005712340687
hospital,operation,41,0.3104390320850536
neck,strengthen,25,0.310331765732314
carbonated drink,drink,133,0.3099145844523725
contract,esophagus,41,0.30939535877044605
cost,network,27,0.30875564436423614
cpd,cpd sufferer,41,0.30799729432720624
bowel,ibs,25,0.3071464020768518
air vomit,gag,176,0.3065832274615613
100 unit,50,49,0.306510022694452
alcohol,coffee,36,0.306298731003322
rcpd,treat rcpd,62,0.3059437155694064
gurgle,gurgle come,68,0.30577305363738255
acid reflux,reflux,176,0.3056163010085603
air,amount of air,97,0.30499130269561786
clinic,referral,47,0.30483725838523523
muscle,tension,40,0.3043700210003507
carbonated water,drink,51,0.30430832934326885
drink,fizzy drink,145,0.30406747055132305
100 unit,second round,29,0.3040373583049093
esophagus,low esophagus,25,0.304013631866111
alcohol,carbonated drink,37,0.30374544593517516
drink,drink beer,76,0.3027778435455968
dr bastian,office,315,0.3010419074614627
exercise,shaker,46,0.30089872018483677
drink,drink alcohol,74,0.30077549677613924
retching,vomit,38,0.3006114264795597
carbonated beverage,drink,75,0.30048493497159195
rcpd,symptom of rcpd,36,0.2999846788534579
med,medication,35,0.29945642075462725
healthcare,referral,26,0.29912824624266127
doctor,referral,295,0.2990399141469493
cough,gag,110,0.29881877670346735
air,feel the air,86,0.29837857148046776
air vomit,gag reflex,59,0.29832470984377646
cpd,cpd symptom,89,0.29803473955293636
neck,tension,35,0.2979627570424359
swallow,throat feel,46,0.2979022906560816
air come,gag,63,0.29683613964502414
airway,esophagus,31,0.2963198850978192
anesthesiologist,procedure,83,0.29605341993932766
country,doctor,173,0.29587350498566484
esophageal,esophagus,25,0.29520290045609715
gurgle come,micro burp,25,0.29519524684698667
botox surgery,surgery,50,0.29502198732600887
chest,chest pain,49,0.29470196547075206
colonoscopy,test,25,0.2944712930837015
75 unit,round,25,0.2942496714775296
letter,referral,26,0.29410669687574525
anxiety,fear,141,0.2939192723056668
throat,throat feel,125,0.2938066204615098
endoscopy,test,104,0.2934284677092284
cpd,diagnose be cpd,33,0.2933713909658673
main symptom,nausea,25,0.29309441409669806
drink,lemonade,28,0.29308223761853225
drink,stop drink,29,0.2923840953143216
air,air come,160,0.2909145345318878
gag,vomit,234,0.29028589152135226
referral,request,29,0.29026855787390066
muscle,upper esophageal sphincter,37,0.290162624780465
gag reflex,vomit,81,0.28962339768079726
cpd,treat be cpd,77,0.2894497365720069
gag,puke,69,0.2890265191414183
100 unit,round,45,0.28870291458284275
country,specialist,44,0.2884038596306211
dysfunction,muscle,39,0.28825370343697737
croaking,noise,35,0.2872504430937053
bloat,bloating,74,0.286819798845725
air,bubble of air,32,0.28646294962500707
acid reflux,heartburn,72,0.28513432953760326
eat and drink,eat or drink,26,0.28455006694534707
surgery,surgery center,35,0.2844057281618258
teach,technique,43,0.284387244932444
ent,kaiser,28,0.2842429483118014
bloating,pass gas,29,0.2839004861184418
chest,gurgle come,27,0.2833796665551137
private,referral,31,0.283259449806373
head turn,turn,31,0.2826437264010646
swallow,swallow pill,29,0.28178863450493863
anesthesia,in office procedure,36,0.28155110971266695
swallow,swallow test,27,0.2814327447846492
inability to burp,unable to burp,44,0.2811919565122275
rcpd,rcpd symptom,76,0.28117178438895163
swallow,swallow issue,31,0.2810484654384942
gas,gassy,74,0.28086568055125116
insurance,referral,90,0.28073094332945747
bloating,excessive flatulence,28,0.28050709086073067
city,ent,28,0.2804611362226282
throat,try to swallow,63,0.27978752054354733
chest,pain,236,0.2794246674672914
gag,reflex,43,0.2793463113614054
drink,tea,70,0.2792792853387923
study,test,102,0.27885982608052323
puke,vomit,117,0.2780248041380782
cost,nhs,74,0.2777554428078839
nausea,vomit,235,0.2777455504061982
consultation,hospital,70,0.2776401287289766
botox treatment,treatment,143,0.27755953348155066
50,dose,70,0.2773440176130882
ent,see a ent,36,0.2772839697252094
air,pressure,310,0.27681211632974057
beverage,drink,54,0.27675142915928097
actually throw,air vomit,25,0.2760408303683381
barium swallow,esophagus,51,0.27582820405655306
beer,carbonated drink,40,0.275706394354554
air,air bubble,82,0.2755109493733311
dose,second round,41,0.2750139603899783
general anaesthetic,office,34,0.274335819919369
drink,start drink,32,0.27397858153763915
abdominal pain,pain,27,0.27392199032417835
reflex,vomit,75,0.2731128842027562
doctor,find a ent,40,0.2727039257327521
feel the gurgle,gurgle,39,0.27209965619974097
cpd,disease,69,0.27143746568520255
anxiety,emetophobia,132,0.27091528518193786
difficulty swallow,swallow,32,0.270890430914109
throat,throat feel like,32,0.2696827443600211
drink,fizzy water,58,0.2690314022996361
acid reflux,gerd,82,0.2681247740468182
gas,pass gas,27,0.2675298934503699
diaphragm,esophagus,63,0.2675029672558018
swallow,trouble swallow,34,0.26721310812677085
chest,shortness of breath,38,0.26710693628839194
cricopharyngeus muscle,esophagus,27,0.26695684306035894
map,referral,34,0.2667630605703795
chest,noise,96,0.2664477401256319
pain,stomach pain,60,0.2657248047508693
air,force the air,35,0.2656612995551071
air,burp sound,36,0.26522956877458354
cost,healthcare,25,0.26490499606718776
esophagus,swallow,191,0.26485338968029515
bloating,flatulence,57,0.26426059335209184
constipation,ibs,28,0.263703666243992
gas pain,pain,29,0.26367475027638465
cough,micro burp,84,0.2636157826127208
air bubble,chest,31,0.26322512066878556
hiatal hernia,reflux,55,0.26297054770237605
chest pain,pain,65,0.26206296488110287
heartburn,reflux,66,0.26174154941214983
larynx,muscle,38,0.2613913985644993
scope,test,60,0.2613672768680551
flatulence,gas,58,0.2608954005269006
drink,milk,43,0.2606599278751972
regurgitation,vomit,151,0.26061991615797964
medication,omeprazole,25,0.26033926128932716
chugg,drink,41,0.25988516202711637
procedure,surgery center,65,0.2595108627638465
consultation,scope,33,0.2593628801640521
anaesthetic,office,27,0.25934043752679475
eat or drink,soda,29,0.2592733745477347
air vomit,vomit,250,0.25912497723618594
muscle,throat,448,0.25903345935133626
chest,trap gas,35,0.2588433914942415
air,chest,321,0.2583902198137213
gas,gas x,32,0.25810067248347873
drink,drink water,105,0.2578142897649082
hospital,procedure,336,0.2577828606420675
inability to burp,symptom,211,0.25761456235171754
ent,specialist,77,0.25733170118818705
air,air be come,28,0.2572364575595662
actual burp,air,56,0.2569858619633486
gas,pressure,130,0.25685179570883077
cover,private,27,0.2565456432349867
air,noise,224,0.25644090091129434
hospital,surgery,152,0.2560667889070763
air,release the air,40,0.2551591942381109
throat,uvula,47,0.25510583061059183
throat,throat hurt,42,0.25481771241969065
neck,throat feel,28,0.2548058229895922
chest,trap air,44,0.25473254078188085
study,visit,35,0.2546967915331066
slow swallow,throat feel,40,0.2545445533589998
main symptom,symptom,40,0.2543716856712362
alcohol,soda,33,0.2542773815885559
dysfunction,esophagus,37,0.253959528337058
jaw,muscle,34,0.2535396143905289
50,50 unit,29,0.2533193191652157
amount of air,discomfort,25,0.25327456375262064
cricopharyngeus,muscle,25,0.25318307783428795
neck,throat,395,0.2526474062144595
scope,surgery,78,0.2520868186770744
vomit,vomit air,25,0.25197919267169955
cricopharyngeal muscle,esophagus,26,0.25046908036115484
larynx,neck,32,0.24996802017682632
doctor,local doctor,29,0.24996249028863463
50 unit,round,29,0.24956197950967948
air come,chest,51,0.24812159353591307
flatulence,symptom,96,0.24780530211359345
discomfort,pressure,93,0.247551301655156
doctor,new doctor,27,0.24749237528366283
fear of vomit,nausea,31,0.24666314515101384
doctor,locally,26,0.24619374621726
air vomit,cough,102,0.24611847445461965
swallow,swallow air,41,0.24568572960443286
cure,self,56,0.2454186147108153
dose,round,59,0.24512255276569275
doctor,specialize,34,0.2446832973352028
slow swallow,swallow,188,0.24454935907469758
anxiety,phobia,47,0.244362403586838
air,gag,274,0.2442878498717146
post procedure,procedure,65,0.24424202283310342
air,feel the pressure,32,0.2440462860704971
chest,gurgle,271,0.24391206629044188
doctor,pcp,59,0.24376817289117192
throat,throat like,58,0.24342882395683074
air,release air,52,0.24323777130939048
beer,eat and drink,30,0.2429870846809117
hospital,visit,40,0.24272488713708248
air,extra air,29,0.24239649223060689
larynx,swallow,38,0.24232332480528057
bill,surgery,41,0.24221483453706544
cough,reflex,27,0.24201883558776704
gurgle,still gurgle,33,0.2418651955921563
fee,procedure,57,0.24152890000809402
air come,air vomit,56,0.2411842977327848
gurgle,micro burp,227,0.24084083038636875
air come,noise,34,0.24020455005491917
cover,referral,70,0.2401803828470243
shaker exercise,technique,38,0.2398899685257988
air,release of air,28,0.23974766777871362
chest,hiccup,85,0.23956221859060778
prep,procedure,41,0.2395298666976054
esophagus,muscle,147,0.23935587309230924
problem swallow,throat,26,0.2389739068111493
pressure,trap air,35,0.2389548192479264
difficult to swallow,throat,27,0.23864191134655657
doctor,list of doctor,46,0.23820135339439122
discomfort,pain,164,0.23793902788025126
airway,throat,58,0.23771719574892827
gas,stomach pain,35,0.23759474923556664
get gurgle,gurgle,55,0.2373916069698592
ent,map,35,0.23717526269968528
actually throw,vomit,28,0.23707258322959326
gurgle,gurgle start,28,0.23677057860289002
massage,muscle,28,0.23647160515994928
acid reflux,hiatal hernia,44,0.23634056629493816
doctor,ent,271,0.2362023585727722
doctor,network,44,0.23562642647043414
abdominal pain,symptom,26,0.2355244197122622
cannot burp,symptom,60,0.23533616944304805
self,teach,26,0.23532392671645339
doc,referral,51,0.23509083789147434
air,trap air,97,0.23471105856671598
cpd,syndrome,50,0.23451613250958858
air,get air,39,0.2344762034307694
cpd,disorder,138,0.23439210700106833
flatulence,inability to burp,34,0.23406819189963546
gurgle,noise,180,0.23357609447299768
hospital,test,97,0.2335347751098199
dose,ga,37,0.23344615968349292
chest,discomfort,97,0.23326529434921447
throat,throat open,27,0.23311350201110764
throat,throat pain,36,0.23269367845948843
relax my throat,throat,39,0.23227050708647548
air,gurgle,643,0.23226147562504515
slow swallow,throat,516,0.23210885544836773
